date,setup_id,direction,session,entry_price,stop_price,target_price,risk_points,exit_price,exit_type,pnl_points,pnl_usd,r_multiple,risk_reward,reasoning
2025-01-02,L-REV-202501020032,long,pre_market,22446.72,22423.72,22494.86,23.0,22446.72,HARD_STOP,0.0,-14.0,0.0,2.09,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-02,L-REV-202501020201,long,pre_market,22439.9,22424.24,22464.57,15.65,22464.57,TARGET_HIT,24.68,479.54,1.58,1.58,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-03,S-REV-202501030329,short,pre_market,22343.29,22354.74,22304.43,11.45,22343.29,HARD_STOP,0.0,-14.0,0.0,3.39,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-03,S-REV-202501031114,short,open_drive,22539.13,22570.79,22375.84,31.67,22570.79,HARD_STOP,-31.67,-647.3,-1.0,5.16,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-06,S-REV-202501060139,short,pre_market,22650.7,22652.7,22609.65,2.0,22650.7,HARD_STOP,0.0,-14.0,0.0,20.53,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-07,L-REV-202501070044,long,pre_market,22789.05,22781.01,22867.02,8.04,22781.01,HARD_STOP,-8.04,-174.76,-1.0,9.7,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-07,L-REV-202501070955,long,open_drive,22567.48,22556.03,22832.1,11.45,22567.48,HARD_STOP,0.0,-14.0,0.0,23.11,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-09,L-REV-202501091752,long,overnight,22299.45,22271.72,22369.54,27.73,22271.72,HARD_STOP,-27.73,-568.54,-1.0,2.53,HTF Sweep (HTF_SWING) + IFVG Bullish Inversion
2025-01-10,L-REV-202501100736,long,pre_market,22174.22,22097.14,22314.94,77.08,22174.22,HARD_STOP,0.0,-14.0,0.0,1.83,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-10,L-REV-202501100918,long,pre_market,21985.47,21983.47,22124.87,2.0,21985.47,HARD_STOP,0.0,-14.0,0.0,69.7,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-12,L-REV-202501122144,long,overnight,21927.45,21901.3,22033.51,26.15,21927.45,HARD_STOP,0.0,-14.0,0.0,4.06,HTF Sweep (HTF_SWING) + IFVG Bullish Inversion
2025-01-13,S-REV-202501130036,short,pre_market,21954.75,21958.07,21934.8,3.31,21954.75,HARD_STOP,0.0,-14.0,0.0,6.02,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-14,S-REV-202501140226,short,pre_market,22150.33,22150.5,22074.99,0.16,22150.33,HARD_STOP,0.0,-14.0,0.0,464.11,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-14,L-REV-202501141106,long,open_drive,21885.19,21884.76,22005.95,0.42,21885.19,HARD_STOP,0.0,-14.0,0.0,284.23,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-15,S-REV-202501150127,short,pre_market,22002.01,22010.05,21830.32,8.04,22002.01,HARD_STOP,0.0,-14.0,0.0,21.36,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-15,S-REV-202501150350,short,pre_market,22007.0,22012.67,21830.32,5.68,22007.0,HARD_STOP,0.0,-14.0,0.0,31.13,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-15,S-REV-202501150944,short,open_drive,22443.83,22447.67,22417.32,3.84,22443.83,HARD_STOP,0.0,-14.0,0.0,6.91,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-15,S-REV-202501151402,short,power_hour,22492.4,22511.2,22456.7,18.8,22511.2,HARD_STOP,-18.8,-390.03,-1.0,1.9,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-17,S-REV-202501170822,short,pre_market,22684.04,22710.46,22409.71,26.41,22710.46,HARD_STOP,-26.41,-542.29,-1.0,10.39,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-17,S-REV-202501170831,short,pre_market,22674.59,22755.09,22409.71,80.49,22674.59,HARD_STOP,0.0,-14.0,0.0,3.29,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-17,S-REV-202501171233,short,midday,22732.61,22746.95,22690.87,14.34,22690.87,TARGET_HIT,41.74,820.82,2.91,2.91,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-20,S-REV-202501200814,short,pre_market,22753.87,22774.77,22698.74,20.9,22774.77,HARD_STOP,-20.9,-432.03,-1.0,2.64,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-20,L-REV-202501201905,long,overnight,22616.84,22598.03,22676.95,18.8,22598.03,HARD_STOP,-18.8,-390.03,-1.0,3.2,HTF Sweep (HTF_SWING) + IFVG Bullish Inversion
2025-01-21,S-REV-202501211744,short,overnight,22889.33,22905.77,22858.62,16.44,22905.77,HARD_STOP,-16.44,-342.77,-1.0,1.87,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-21,S-REV-202501211900,short,overnight,22921.1,22929.4,22858.62,8.3,22921.1,HARD_STOP,0.0,-14.0,0.0,7.53,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-22,S-REV-202501220316,short,pre_market,22984.89,22998.18,22943.58,13.29,22998.18,HARD_STOP,-13.29,-279.77,-1.0,3.11,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-22,S-REV-202501220339,short,pre_market,22984.89,22997.92,22943.32,13.03,22984.89,HARD_STOP,0.0,-14.0,0.0,3.19,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-22,S-REV-202501220646,short,pre_market,23001.43,23012.36,22961.17,10.93,23012.36,HARD_STOP,-10.93,-232.52,-1.0,3.69,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-23,S-REV-202501231058,short,open_drive,23049.74,23072.74,22993.56,23.0,23049.74,HARD_STOP,0.0,-14.0,0.0,2.44,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-23,S-REV-202501231225,short,midday,23070.48,23072.48,22993.56,2.0,23070.48,HARD_STOP,0.0,-14.0,0.0,38.46,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-24,S-REV-202501240036,short,pre_market,23110.12,23117.1,23092.26,6.99,23110.12,HARD_STOP,0.0,-14.0,0.0,2.55,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-24,L-REV-202501241006,long,open_drive,23084.39,23068.74,23128.23,15.65,23084.39,HARD_STOP,0.0,-14.0,0.0,2.8,HTF Sweep (HTF_SWING) + IFVG Bullish Inversion
2025-01-24,L-REV-202501241134,long,open_drive,23084.39,23066.9,23128.23,17.49,23066.9,HARD_STOP,-17.49,-363.78,-1.0,2.51,HTF Sweep (HTF_SWING) + IFVG Bullish Inversion
2025-01-26,L-REV-202501261912,long,overnight,22687.72,22664.19,22986.73,23.53,22664.19,HARD_STOP,-23.53,-484.54,-1.0,12.71,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-26,L-REV-202501262022,long,overnight,22598.98,22598.82,22676.95,0.16,22598.98,HARD_STOP,0.0,-14.0,0.0,480.28,HTF Sweep (HTF_SWING) + IFVG Bullish Inversion
2025-01-27,L-REV-202501270051,long,pre_market,22454.33,22440.78,22511.83,13.55,22454.33,HARD_STOP,0.0,-14.0,0.0,4.24,HTF Sweep (HTF_SWING) + IFVG Bullish Inversion
2025-01-27,L-REV-202501270337,long,pre_market,22283.17,22247.04,22425.98,36.13,22247.04,HARD_STOP,-36.13,-736.56,-1.0,3.95,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-27,L-REV-202501270455,long,pre_market,21925.88,21864.55,22093.89,61.33,22093.89,TARGET_HIT,168.01,3346.29,2.74,2.74,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-28,S-REV-202501280025,short,pre_market,22362.71,22374.17,22311.26,11.45,22374.17,HARD_STOP,-11.45,-243.02,-1.0,4.49,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-28,S-REV-202501280422,short,pre_market,22487.15,22498.6,22436.22,11.45,22436.22,TARGET_HIT,50.93,1004.59,4.45,4.45,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-29,L-REV-202501290000,long,pre_market,22686.4,22659.47,22768.93,26.94,22768.93,TARGET_HIT,82.53,1636.57,3.06,3.06,HTF Sweep (GAMMA_CLUSTER) + IFVG Bullish Inversion
2025-01-29,S-REV-202501290021,short,pre_market,22734.45,22744.06,22637.84,9.61,22734.45,HARD_STOP,0.0,-14.0,0.0,10.05,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-29,S-REV-202501290053,short,pre_market,22746.52,22765.32,22706.26,18.8,22746.52,HARD_STOP,0.0,-14.0,0.0,2.14,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
2025-01-30,S-REV-202501300232,short,pre_market,22770.67,22787.64,22735.23,16.96,22787.64,HARD_STOP,-16.96,-353.28,-1.0,2.09,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2025-01-30,S-REV-202501300853,short,pre_market,22804.01,22835.68,22735.23,31.67,22804.01,HARD_STOP,0.0,-14.0,0.0,2.17,HTF Sweep (GAMMA_CLUSTER) + IFVG Bearish Inversion
